Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US West (Oregon),Web,Amazon Virtual Private Cloud (VPC),0,460.8,5529.60,USD,"DT Inbound: Internet (5 TB per month), DT Outbound: Internet (5 TB per month), DT Intra-Region: (0 TB per month), Data transfer cost (460.8)"
My Estimate,US West (Oregon),API,Amazon Virtual Private Cloud (VPC),0,460.8,5529.60,USD,"DT Inbound: Internet (5 TB per month), DT Outbound: Internet (5 TB per month), DT Intra-Region: (0 TB per month), Data transfer cost (460.8)"
My Estimate,US West (Oregon),GROUP1,Amazon EC2,0,45.7804,549.36,USD,"Operating system (Linux), Storage amount (30 GB), DT Inbound: Internet (0 TB per month), DT Outbound: Internet (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Monthly, Baseline: 1, Peak: 4, Duration of peak: 3 Day 0 Hr 0 Min), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB), Advance EC2 instance (r6g.medium), Pricing strategy (EC2 Instance Savings Plans 1 Year  None upfront)"
My Estimate,US West (Oregon),ERP1,Amazon EC2,0,41.251599999999996,495.02,USD,"Operating system (Linux), Storage amount (30 GB), DT Inbound: Internet (0 TB per month), DT Outbound: Internet (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Monthly, Baseline: 1, Peak: 3, Duration of peak: 3 Day 0 Hr 0 Min), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB), Advance EC2 instance (r6g.medium), Pricing strategy (EC2 Instance Savings Plans 1 Year  None upfront)"
My Estimate,US West (Oregon),CRM1,Amazon EC2,0,41.251599999999996,495.02,USD,"Operating system (Linux), Storage amount (30 GB), DT Inbound: Internet (0 TB per month), DT Outbound: Internet (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Monthly, Baseline: 1, Peak: 3, Duration of peak: 3 Day 0 Hr 0 Min), Advance EC2 instance (r6g.medium), Pricing strategy (EC2 Instance Savings Plans 1 Year  None upfront), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB)"
My Estimate,US West (Oregon),MAIL1,Amazon EC2,0,12.0904,145.08,USD,"Operating system (Linux), Storage amount (30 GB), DT Inbound: Internet (0 TB per month), DT Outbound: Internet (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Monthly, Baseline: 1, Peak: 2, Duration of peak: 3 Day 0 Hr 0 Min), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB), Advance EC2 instance (t4g.nano), Pricing strategy (EC2 Instance Savings Plans 1 Year  None upfront)"
My Estimate,US West (Oregon),GROUP2,Amazon EC2,0,117.1152,1405.38,USD,"Operating system (Linux), Storage amount (30 GB), DT Inbound: Internet (0 TB per month), DT Outbound: Internet (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Monthly, Baseline: 1, Peak: 2, Duration of peak: 3 Day 0 Hr 0 Min), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB), Advance EC2 instance (r6g.xlarge), Pricing strategy (EC2 Instance Savings Plans 1 Year  None upfront)"
My Estimate,US West (Oregon),ERP2,Amazon EC2,0,184.17200000000003,2210.06,USD,"Operating system (Linux), Storage amount (30 GB), DT Inbound: Internet (0 TB per month), DT Outbound: Internet (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Monthly, Baseline: 1, Peak: 2, Duration of peak: 3 Day 0 Hr 0 Min), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB), Advance EC2 instance (x2gd.xlarge), Pricing strategy (EC2 Instance Savings Plans 1 Year  None upfront)"
My Estimate,US West (Oregon),CRM2,Amazon EC2,0,12.0904,145.08,USD,"Operating system (Linux), Storage amount (30 GB), DT Inbound: Internet (0 TB per month), DT Outbound: Internet (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Monthly, Baseline: 1, Peak: 2, Duration of peak: 3 Day 0 Hr 0 Min), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB), Advance EC2 instance (t4g.nano), Pricing strategy (EC2 Instance Savings Plans 1 Year  None upfront)"
My Estimate,US West (Oregon),MAIL2,Amazon EC2,0,358.527,4302.32,USD,"Operating system (Linux), Storage amount (30 GB), DT Inbound: Internet (0 TB per month), DT Outbound: Internet (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Monthly, Baseline: 1, Peak: 2, Duration of peak: 3 Day 0 Hr 0 Min), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB), Advance EC2 instance (x2gd.2xlarge), Pricing strategy (EC2 Instance Savings Plans 1 Year  None upfront)"
My Estimate,US West (Oregon),ELB,Application Load Balancer,0,366.83,4401.96,USD,Number of Application Load Balancers (1)
My Estimate,US West (Oregon),NLB,Network Load Balancer,0,60.23,722.76,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (10 GB per hour), Average number of new TCP connections (2 per second), Average TCP connection duration (0 seconds), Processed bytes per NLB for UDP (0 GB per hour), Average number of new UDP Flows (0 per second), Average UDP Flow duration (0 seconds), Processed bytes per NLB for TLS (0 GB per hour), Average number of new TLS connections (0 per second), Average TLS connection duration (0 seconds)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
